n_amenageur;n_operateur;n_enseigne;id_station;n_station;ad_station;code_insee;Xlongitude;Ylatitude;nbre_pdc;id_pdc;puiss_max;type_prise;acces_recharge;accessibilité;observations;date_maj
Syndicat de l'Énergie de l'Orne (TE61);Syndicat de l'Énergie de l'Orne (TE61) | FR*S61;Te61;FR*S61*P61071A;Camembert | Place du Musée ; Place du Musée 61120 Camembert;;0.177612;48.893414;2;FR*S61*E61071A12;18.000;T3-EF;Payant;24/24 7/7;;2020/07/10
Syndicat de l'Énergie de l'Orne (TE61);Syndicat de l'Énergie de l'Orne (TE61) | FR*S61;Te61;FR*S61*P61071A;Camembert | Place du Musée ; Place du Musée 61120 Camembert;;0.177612;48.893414;2;FR*S61*E61071A11;18.000;T2-EF;Payant;24/24 7/7;;2020/07/10
Syndicat de l'Énergie de l'Orne (TE61);Syndicat de l'Énergie de l'Orne (TE61) | FR*S61;Te61;FR*S61*P61074A;Carrouges | Place Charles de Gaulle ; Place Charles de Gaulle 61320 Carrouges;;-0.144816;48.568123;2;FR*S61*E61074A11;18.000;T2-EF;Payant;24/24 7/7;;2020/07/10
Syndicat de l'Énergie de l'Orne (TE61);Syndicat de l'Énergie de l'Orne (TE61) | FR*S61;Te61;FR*S61*P61074A;Carrouges | Place Charles de Gaulle ; Place Charles de Gaulle 61320 Carrouges;;-0.144816;48.568123;2;FR*S61*E61074A12;18.000;T3-EF;Payant;24/24 7/7;;2020/07/10
Syndicat de l'Énergie de l'Orne (TE61);Syndicat de l'Énergie de l'Orne (TE61) | FR*S61;Te61;FR*S61*P61075A;Ceaucé | La Veillottière ; La Veillottière 61330 Ceaucé;;-0.625283;48.497520;2;FR*S61*E61075A11;18.000;T2-EF;Payant;24/24 7/7;;2020/07/10
Syndicat de l'Énergie de l'Orne (TE61);Syndicat de l'Énergie de l'Orne (TE61) | FR*S61;Te61;FR*S61*P61075A;Ceaucé | La Veillottière ; La Veillottière 61330 Ceaucé;;-0.625283;48.497520;2;FR*S61*E61075A12;18.000;T3-EF;Payant;24/24 7/7;;2020/07/10
Syndicat de l'Énergie de l'Orne (TE61);Syndicat de l'Énergie de l'Orne (TE61) | FR*S61;Te61;FR*S61*P61077B;Cerisé | Rue de l'Expansion ; Rue de l'Expansion 61000 Cerisé;;0.114618;48.445946;2;FR*S61*E61077B11;18.000;T2-EF;Payant;24/24 7/7;;2020/07/10
Syndicat de l'Énergie de l'Orne (TE61);Syndicat de l'Énergie de l'Orne (TE61) | FR*S61;Te61;FR*S61*P61077B;Cerisé | Rue de l'Expansion ; Rue de l'Expansion 61000 Cerisé;;0.114618;48.445946;2;FR*S61*E61077B12;18.000;T3-EF;Payant;24/24 7/7;;2020/07/10
Syndicat de l'Énergie de l'Orne (TE61);Syndicat de l'Énergie de l'Orne (TE61) | FR*S61;Te61;FR*S61*P61079B;Ceton | Rue des Fontaines ; Rue des Fontaines 61260 Ceton;;0.747788;48.225887;2;FR*S61*E61079B12;18.000;T3-EF;Payant;24/24 7/7;;2020/07/10
Syndicat de l'Énergie de l'Orne (TE61);Syndicat de l'Énergie de l'Orne (TE61) | FR*S61;Te61;FR*S61*P61079B;Ceton | Rue des Fontaines ; Rue des Fontaines 61260 Ceton;;0.747788;48.225887;2;FR*S61*E61079B11;18.000;T2-EF;Payant;24/24 7/7;;2020/07/10
Syndicat de l'Énergie de l'Orne (TE61);Syndicat de l'Énergie de l'Orne (TE61) | FR*S61;Te61;FR*S61*P61091A;Champsecret | Rue Colonel André Lefèvre ; Rue Colonel André Lefèvre 61700 Champsecret;;-0.553686;48.609270;2;FR*S61*E61091A12;18.000;T3-EF;Payant;24/24 7/7;;2020/07/10
Syndicat de l'Énergie de l'Orne (TE61);Syndicat de l'Énergie de l'Orne (TE61) | FR*S61;Te61;FR*S61*P61091A;Champsecret | Rue Colonel André Lefèvre ; Rue Colonel André Lefèvre 61700 Champsecret;;-0.553686;48.609270;2;FR*S61*E61091A11;18.000;EF-T3;Payant;24/24 7/7;;2020/07/10
Syndicat de l'Énergie de l'Orne (TE61);Syndicat de l'Énergie de l'Orne (TE61) | FR*S61;Te61;FR*S61*P61092A;Chandai | Route de Crulai ; Route de Crulai 61300 Chandai;;0.739822;48.752260;2;FR*S61*E61092A12;18.000;T3-EF;Payant;24/24 7/7;;2020/07/10
Syndicat de l'Énergie de l'Orne (TE61);Syndicat de l'Énergie de l'Orne (TE61) | FR*S61;Te61;FR*S61*P61092A;Chandai | Route de Crulai ; Route de Crulai 61300 Chandai;;0.739822;48.752260;2;FR*S61*E61092A11;18.000;T2-EF;Payant;24/24 7/7;;2020/07/10
Syndicat de l'Énergie de l'Orne (TE61);Syndicat de l'Énergie de l'Orne (TE61) | FR*S61;Te61;FR*S61*P61093A;Chanu | Rue de la Ferrière ; Rue de la Ferrière 61800 Chanu;;-0.677842;48.729350;2;FR*S61*E61093A11;18.000;T2-EF;Payant;24/24 7/7;;2020/07/10
Syndicat de l'Énergie de l'Orne (TE61);Syndicat de l'Énergie de l'Orne (TE61) | FR*S61;Te61;FR*S61*P61093A;Chanu | Rue de la Ferrière ; Rue de la Ferrière 61800 Chanu;;-0.677842;48.729350;2;FR*S61*E61093A12;18.000;T3-EF;Payant;24/24 7/7;;2020/07/10
Syndicat de l'Énergie de l'Orne (TE61);Syndicat de l'Énergie de l'Orne (TE61) | FR*S61;Te61;FR*S61*P61096A;Rives d'Andaine | Rue de Domfront ; Rue de Domfront 61140 Rives d'Andaine;;-0.481497;48.534180;2;FR*S61*E61096A11;18.000;T2-EF;Payant;24/24 7/7;;2020/07/10
Syndicat de l'Énergie de l'Orne (TE61);Syndicat de l'Énergie de l'Orne (TE61) | FR*S61;Te61;FR*S61*P61096A;Rives d'Andaine | Rue de Domfront ; Rue de Domfront 61140 Rives d'Andaine;;-0.481497;48.534180;2;FR*S61*E61096A12;18.000;T3-EF;Payant;24/24 7/7;;2020/07/10
Syndicat de l'Énergie de l'Orne (TE61);Syndicat de l'Énergie de l'Orne (TE61) | FR*S61;Te61;FR*S61*P611038B;Bellême | Place du Général Leclerc ; Place du Général Leclerc 61130 Bellême;;0.555585;48.376780;2;FR*S61*E611038B12;18.000;T3-EF;Payant;24/24 7/7;;2020/07/10
Syndicat de l'Énergie de l'Orne (TE61);Syndicat de l'Énergie de l'Orne (TE61) | FR*S61;Te61;FR*S61*P611038B;Bellême | Place du Général Leclerc ; Place du Général Leclerc 61130 Bellême;;0.555585;48.376780;2;FR*S61*E611038B11;18.000;T2-EF;Payant;24/24 7/7;;2020/07/10
Syndicat de l'Énergie de l'Orne (TE61);Syndicat de l'Énergie de l'Orne (TE61) | FR*S61;Te61;FR*S61*P61115A;Sablons sur Huisne | Place du Général de Gaulle ; Place du Général de Gaulle 61110 Sablons sur Huisne;;0.850544;48.380410;2;FR*S61*E61115A12;18.000;T3-EF;Payant;24/24 7/7;;2020/07/10
Syndicat de l'Énergie de l'Orne (TE61);Syndicat de l'Énergie de l'Orne (TE61) | FR*S61;Te61;FR*S61*P61115A;Sablons sur Huisne | Place du Général de Gaulle ; Place du Général de Gaulle 61110 Sablons sur Huisne;;0.850544;48.380410;2;FR*S61*E61115A11;18.000;T2-EF;Payant;24/24 7/7;;2020/07/10
Syndicat de l'Énergie de l'Orne (TE61);Syndicat de l'Énergie de l'Orne (TE61) | FR*S61;Te61;FR*S61*P61116A;Condé-sur-Sarthe | Rue l'Abbé Loublier ; Rue l'Abbé Loublier 61250 Condé-sur-Sarthe;;0.036433;48.433710;2;FR*S61*E61116A12;18.000;T3-EF;Payant;24/24 7/7;;2020/07/10
Syndicat de l'Énergie de l'Orne (TE61);Syndicat de l'Énergie de l'Orne (TE61) | FR*S61;Te61;FR*S61*P61116A;Condé-sur-Sarthe | Rue l'Abbé Loublier ; Rue l'Abbé Loublier 61250 Condé-sur-Sarthe;;0.036433;48.433710;2;FR*S61*E61116A11;18.000;T2-EF;Payant;24/24 7/7;;2020/07/10
Syndicat de l'Énergie de l'Orne (TE61);Syndicat de l'Énergie de l'Orne (TE61) | FR*S61;Te61;FR*S61*P61121C;L'Aigle | Rue Georges Lochon ; Rue Georges Lochon 61300 L'Aigle;;0.635110;48.757540;2;FR*S61*E61121C12;18.000;T3-EF;Payant;24/24 7/7;;2020/07/10
Syndicat de l'Énergie de l'Orne (TE61);Syndicat de l'Énergie de l'Orne (TE61) | FR*S61;Te61;FR*S61*P61121C;L'Aigle | Rue Georges Lochon ; Rue Georges Lochon 61300 L'Aigle;;0.635110;48.757540;2;FR*S61*E61121C11;18.000;T2-EF;Payant;24/24 7/7;;2020/07/10
Syndicat de l'Énergie de l'Orne (TE61);Syndicat de l'Énergie de l'Orne (TE61) | FR*S61;Te61;FR*S61*P61121D;L'Aigle | Rue des Tanneurs 12;12 Rue des Tanneurs 61300 L'Aigle;;0.625156;48.766304;2;FR*S61*E61121D12;18.000;T3-EF;Payant;24/24 7/7;;2020/07/10
Syndicat de l'Énergie de l'Orne (TE61);Syndicat de l'Énergie de l'Orne (TE61) | FR*S61;Te61;FR*S61*P61121D;L'Aigle | Rue des Tanneurs 12;12 Rue des Tanneurs 61300 L'Aigle;;0.625156;48.766304;2;FR*S61*E61121D11;18.000;T2-EF;Payant;24/24 7/7;;2020/07/10
Syndicat de l'Énergie de l'Orne (TE61);Syndicat de l'Énergie de l'Orne (TE61) | FR*S61;Te61;FR*S61*P61126A;Coulonges-sur-Sarthe | Avenue Résidence du Lac ; Avenue Résidence du Lac 61170 Coulonges-sur-Sarthe;;0.361332;48.514183;2;FR*S61*E61126A11;18.000;T2-EF;Payant;24/24 7/7;;2020/07/10
Syndicat de l'Énergie de l'Orne (TE61);Syndicat de l'Énergie de l'Orne (TE61) | FR*S61;Te61;FR*S61*P61126A;Coulonges-sur-Sarthe | Avenue Résidence du Lac ; Avenue Résidence du Lac 61170 Coulonges-sur-Sarthe;;0.361332;48.514183;2;FR*S61*E61126A12;18.000;T3-EF;Payant;24/24 7/7;;2020/07/10
Syndicat de l'Énergie de l'Orne (TE61);Syndicat de l'Énergie de l'Orne (TE61) | FR*S61;Te61;FR*S61*P61130A;Courgeoût | Pré Gaudrin ; Pré Gaudrin 61560 Courgeoût;;0.489762;48.509750;2;FR*S61*E61130A12;18.000;T3-EF;Payant;24/24 7/7;;2020/07/10
Syndicat de l'Énergie de l'Orne (TE61);Syndicat de l'Énergie de l'Orne (TE61) | FR*S61;Te61;FR*S61*P61130A;Courgeoût | Pré Gaudrin ; Pré Gaudrin 61560 Courgeoût;;0.489762;48.509750;2;FR*S61*E61130A11;18.000;T2-EF;Payant;24/24 7/7;;2020/07/10
Syndicat de l'Énergie de l'Orne (TE61);Syndicat de l'Énergie de l'Orne (TE61) | FR*S61;Te61;FR*S61*P61133A;Courtomer | Place de la Mairie ; Place de la Mairie 61390 Courtomer;;0.357996;48.627666;2;FR*S61*E61133A12;18.000;T3-EF;Payant;24/24 7/7;;2020/07/10
